2026-05-20_00:29:36 formal_watchdog_start threshold_mb=24000
2026-05-20_02:14:54 used_mb=9330 total_mb=32768
2026-05-20_02:15:25 used_mb=9330 total_mb=32768
2026-05-20_02:15:55 used_mb=9330 total_mb=32768
2026-05-20_02:16:25 used_mb=9330 total_mb=32768
2026-05-20_02:16:55 used_mb=9330 total_mb=32768
2026-05-20_02:17:25 used_mb=9330 total_mb=32768
2026-05-20_02:17:55 used_mb=9330 total_mb=32768
2026-05-20_02:18:25 used_mb=9330 total_mb=32768
2026-05-20_02:18:55 used_mb=9330 total_mb=32768
2026-05-20_02:19:25 used_mb=9330 total_mb=32768
2026-05-20_02:19:55 used_mb=9330 total_mb=32768
2026-05-20_02:20:25 used_mb=9330 total_mb=32768
2026-05-20_02:20:55 used_mb=9330 total_mb=32768
2026-05-20_02:21:26 used_mb=9330 total_mb=32768
2026-05-20_02:21:56 used_mb=9330 total_mb=32768
2026-05-20_02:22:26 used_mb=9330 total_mb=32768
2026-05-20_02:22:56 used_mb=9330 total_mb=32768
2026-05-20_02:23:26 used_mb=9330 total_mb=32768
2026-05-20_02:23:56 used_mb=9330 total_mb=32768
2026-05-20_02:24:26 used_mb=9330 total_mb=32768
2026-05-20_02:24:56 used_mb=9330 total_mb=32768
2026-05-20_02:25:26 used_mb=9330 total_mb=32768
2026-05-20_02:25:56 used_mb=9330 total_mb=32768
2026-05-20_02:26:26 used_mb=9330 total_mb=32768
2026-05-20_02:26:56 used_mb=9330 total_mb=32768
2026-05-20_02:27:27 used_mb=9330 total_mb=32768
2026-05-20_02:27:57 used_mb=9332 total_mb=32768
2026-05-20_02:28:27 used_mb=9332 total_mb=32768
2026-05-20_02:28:57 used_mb=9332 total_mb=32768
2026-05-20_02:29:27 used_mb=9332 total_mb=32768
2026-05-20_02:29:57 used_mb=9332 total_mb=32768
2026-05-20_02:30:27 used_mb=9332 total_mb=32768
2026-05-20_02:30:57 used_mb=9332 total_mb=32768
2026-05-20_02:31:27 used_mb=9332 total_mb=32768
2026-05-20_02:31:57 used_mb=9332 total_mb=32768
2026-05-20_02:32:27 used_mb=9332 total_mb=32768
2026-05-20_02:32:57 used_mb=0 total_mb=32768
2026-05-20_02:33:28 used_mb=0 total_mb=32768
2026-05-20_02:33:58 used_mb=0 total_mb=32768
2026-05-20_02:34:28 used_mb=0 total_mb=32768
2026-05-20_02:34:58 used_mb=0 total_mb=32768
2026-05-20_02:35:28 used_mb=0 total_mb=32768
2026-05-20_02:35:58 used_mb=0 total_mb=32768
2026-05-20_02:36:28 used_mb=0 total_mb=32768
2026-05-20_02:36:58 used_mb=0 total_mb=32768
2026-05-20_02:37:28 used_mb=0 total_mb=32768
2026-05-20_02:37:58 used_mb=0 total_mb=32768
2026-05-20_02:38:28 used_mb=0 total_mb=32768
2026-05-20_02:38:58 used_mb=0 total_mb=32768
2026-05-20_02:39:28 used_mb=0 total_mb=32768
2026-05-20_02:39:59 used_mb=0 total_mb=32768
2026-05-20_02:40:29 used_mb=0 total_mb=32768
2026-05-20_02:40:59 used_mb=0 total_mb=32768
2026-05-20_02:41:29 used_mb=0 total_mb=32768
2026-05-20_02:41:59 used_mb=0 total_mb=32768
2026-05-20_02:42:29 used_mb=0 total_mb=32768
2026-05-20_02:42:59 used_mb=0 total_mb=32768
2026-05-20_02:43:29 used_mb=0 total_mb=32768
2026-05-20_02:43:59 used_mb=0 total_mb=32768
