2026-05-20_22:58:21 combined_watchdog_start threshold_mb=24000
2026-05-21_01:03:40 used_mb=13234 total_mb=32768
2026-05-21_01:04:10 used_mb=13234 total_mb=32768
2026-05-21_01:04:40 used_mb=13234 total_mb=32768
2026-05-21_01:05:10 used_mb=13234 total_mb=32768
2026-05-21_01:05:40 used_mb=13234 total_mb=32768
2026-05-21_01:06:10 used_mb=13234 total_mb=32768
2026-05-21_01:06:40 used_mb=13234 total_mb=32768
2026-05-21_01:07:11 used_mb=13234 total_mb=32768
2026-05-21_01:07:41 used_mb=13234 total_mb=32768
2026-05-21_01:08:11 used_mb=13234 total_mb=32768
2026-05-21_01:08:41 used_mb=13234 total_mb=32768
2026-05-21_01:09:11 used_mb=13234 total_mb=32768
2026-05-21_01:09:41 used_mb=13234 total_mb=32768
2026-05-21_01:10:11 used_mb=13234 total_mb=32768
2026-05-21_01:10:41 used_mb=13234 total_mb=32768
2026-05-21_01:11:11 used_mb=13234 total_mb=32768
2026-05-21_01:11:41 used_mb=13234 total_mb=32768
2026-05-21_01:12:11 used_mb=13234 total_mb=32768
2026-05-21_01:12:41 used_mb=13234 total_mb=32768
2026-05-21_01:13:11 used_mb=13234 total_mb=32768
2026-05-21_01:13:41 used_mb=13234 total_mb=32768
2026-05-21_01:14:12 used_mb=13234 total_mb=32768
2026-05-21_01:14:42 used_mb=13234 total_mb=32768
2026-05-21_01:15:12 used_mb=13234 total_mb=32768
2026-05-21_01:15:42 used_mb=13234 total_mb=32768
2026-05-21_01:16:12 used_mb=13234 total_mb=32768
2026-05-21_01:16:42 used_mb=13254 total_mb=32768
2026-05-21_01:17:12 used_mb=13254 total_mb=32768
2026-05-21_01:17:42 used_mb=13254 total_mb=32768
2026-05-21_01:18:12 used_mb=13254 total_mb=32768
2026-05-21_01:18:42 used_mb=13254 total_mb=32768
2026-05-21_01:19:12 used_mb=13254 total_mb=32768
2026-05-21_01:19:42 used_mb=13254 total_mb=32768
2026-05-21_01:20:12 used_mb=13254 total_mb=32768
2026-05-21_01:20:42 used_mb=13254 total_mb=32768
2026-05-21_01:21:13 used_mb=13254 total_mb=32768
2026-05-21_01:21:43 used_mb=13254 total_mb=32768
2026-05-21_01:22:13 used_mb=13254 total_mb=32768
2026-05-21_01:22:43 used_mb=13254 total_mb=32768
2026-05-21_01:23:13 used_mb=13254 total_mb=32768
2026-05-21_01:23:43 used_mb=13254 total_mb=32768
2026-05-21_01:24:13 used_mb=13254 total_mb=32768
2026-05-21_01:24:43 used_mb=13254 total_mb=32768
2026-05-21_01:25:13 used_mb=13254 total_mb=32768
2026-05-21_01:25:43 used_mb=13254 total_mb=32768
2026-05-21_01:26:13 used_mb=13254 total_mb=32768
